아이디,관측일자,표준유역명,유량,발전량
381883,2024-04-01,도암댐,22.35,5519.556
381884,2024-04-01,봉황천하류,36.23,8947.361
381885,2024-04-01,초강상류,51.75,12780.18
381886,2024-04-01,삼가천합류후,2.4,592.704
381887,2024-04-01,삼가천합류후,5.38,1328.645
381888,2024-04-01,석화수위표,-999,-999
381889,2024-04-01,무심천,-999,-999
381890,2024-04-01,갑천하류,-999,-999
381891,2024-04-01,봉황천하류,12.6,3111.696
381892,2024-04-01,갑천하류,-999,-999
381893,2024-04-01,갑천하류,-999,-999
381894,2024-04-01,갑천상류,0.6,148.176
381895,2024-04-01,갑천하류,-999,-999
381896,2024-04-01,보강천,1.54,380.318
381897,2024-04-01,석화수위표,-999,-999
381898,2024-04-01,병천천상류,-999,-999
381899,2024-04-01,석화수위표,-999,-999
381900,2024-04-01,갑천하류,-999,-999
381901,2024-04-01,임실천,11.42,2820.283
381902,2024-04-01,임실천,0,0
381903,2024-04-01,황리천,0,0
381904,2024-04-01,의령천,578.39,142839.194
381905,2024-04-01,차천,560.32,138376.627
381906,2024-04-01,남천,-999,-999
381907,2024-04-01,조만강,0,0
381908,2024-04-01,병천천상류,0,0
381909,2024-04-01,밀양강,612.77,151329.679
381910,2024-04-01,양산천하류,42.83,10577.297
381911,2024-04-01,양산천하류,-999,-999
381912,2024-04-01,곡강천,8.05,1988.028
381913,2024-04-01,곡강천,-999,-999
381914,2024-04-01,동천,5.64,1392.854
381915,2024-04-01,동천,-999,-999
381916,2024-04-01,동천,-999,-999
381917,2024-04-01,동천,-999,-999
381918,2024-04-01,수영강,-999,-999
381919,2024-04-01,남대천,27.8,6865.488
381920,2024-04-01,송천,5.25,1296.54
381921,2024-04-01,갑천하류,-999,-999
381922,2024-04-01,논산천합류전,815.49,201393.41
381923,2024-04-01,논산천합류전,1007.17,248730.703
381924,2024-04-01,대천천,-999,-999
381925,2024-04-01,성황천,249.84,61700.486
381926,2024-04-01,경포천,-999,-999
381927,2024-04-01,경천,3.47,856.951
381928,2024-04-01,광주천,-999,-999
381929,2024-04-01,광주천,-999,-999
381930,2024-04-01,광주천,-999,-999
381931,2024-04-01,와탄천,1.95,481.572
381932,2024-04-01,광주천,8.08,1995.437
381933,2024-04-01,광주천,-999,-999
381934,2024-04-01,지석천,0,0
381935,2024-04-01,와탄천,1.8,444.528
381936,2024-04-01,청계천,0,0
381937,2024-04-01,청계천,0,0
381938,2024-04-01,탐진강하류,3.46,854.482
381939,2024-04-01,탐진강하류,88,21732.48
381940,2024-04-01,와탄천,1.57,387.727
381941,2024-04-01,와탄천,22.75,5618.34
381942,2024-04-01,성황천,63.53,15689.369
381943,2024-04-01,의령천,0,0
381944,2024-04-01,남원수위표,64.42,15909.163
381945,2024-04-01,마륜천,-999,-999
381946,2024-04-01,경포천,-999,-999
381947,2024-04-01,삽교천상류,38.96,9621.562
381948,2024-04-01,삽교천상류,0.02,4.939
381949,2024-04-01,온양천,69.27,17106.919
381950,2024-04-01,간월방조제,-999,-999
381951,2024-04-01,대천천,25.19,6220.922
381952,2024-04-01,전주천하류,22.93,5662.793
381953,2024-04-01,전주천하류,-999,-999
381954,2024-04-01,전주천하류,-999,-999
381955,2024-04-01,전주천하류,0.19,46.922
381956,2024-04-01,전주천하류,0,0
381957,2024-04-01,주상천,2.97,733.471
381958,2024-04-01,주상천,0,0
381959,2024-04-01,임실천,5.23,1291.601
381960,2024-04-01,남원수위표,13.96,3447.562
381961,2024-04-01,임실천,34.12,8426.275
381962,2024-04-01,주암조절지댐,46.87,11575.015
381963,2024-04-01,주암조절지댐,3.15,777.924
381964,2024-04-01,영천강합류전,114.52,28281.859
381965,2024-04-01,논산천합류전,-999,-999
381966,2024-04-01,함양위천,88.58,21875.717
381967,2024-04-01,양평수위표,-999,-999
381968,2024-04-01,중랑천하류,377.35,93190.356
381969,2024-04-01,중랑천합류전,10.05,2481.948
381970,2024-04-01,중랑천합류전,-999,-999
381971,2024-04-01,성남수위표,-999,-999
381972,2024-04-01,탄천하류,-999,-999
381973,2024-04-01,탄천하류,-999,-999
381974,2024-04-01,중랑천하류,1.07,264.247
381975,2024-04-01,중랑천하류,-999,-999
381976,2024-04-01,청계천,-999,-999
381977,2024-04-01,청계천,-999,-999
381978,2024-04-01,안양천하류,-999,-999
381979,2024-04-01,안양천하류,-999,-999
381980,2024-04-01,안양천중류,3.31,817.438
381981,2024-04-01,안양천하류,-999,-999
381982,2024-04-01,행주대교수위표,-999,-999
381984,2024-04-01,경안수위표,-999,-999
381985,2024-04-01,행주대교수위표,-999,-999
381986,2024-04-01,양평수위표,-999,-999
381987,2024-04-01,소양강댐하류,128.3,31684.968
381988,2024-04-01,삼천포천,4.76,1175.53
381989,2024-04-01,전천,3.79,935.978
381990,2024-04-01,황지천,-999,-999
381991,2024-04-01,원주천,5.6,1382.976
381992,2024-04-01,평창강하류,12.97,3203.071
381993,2024-04-01,평창강하류,-999,-999
381994,2024-04-01,원주천,-999,-999
381995,2024-04-01,달천하류,23.75,5865.3
381996,2024-04-01,달천하류,409.51,101132.59
381997,2024-04-01,원주천,280.67,69314.263
381998,2024-04-01,청미수위표,-999,-999
381999,2024-04-01,복하천하류,-999,-999
382000,2024-04-01,양평수위표,215.35,53182.836
382001,2024-04-01,양평수위표,-999,-999
382002,2024-04-01,화천천,-999,-999
382003,2024-04-01,양구교수위표,-999,-999
382004,2024-04-01,양구교수위표,-999,-999
382005,2024-04-01,의암댐,-999,-999
382006,2024-04-01,행주대교수위표,-999,-999
382007,2024-04-01,황지천,4.7,1160.712
382008,2024-04-01,함양위천,10,2469.6
382009,2024-04-01,초강상류,112.46,27773.122
382010,2024-04-01,미성교수위표,8.53,2106.569
382011,2024-04-01,남대천,128.27,31677.559
382012,2024-04-01,초강상류,16.68,4119.293
382013,2024-04-01,북천,172.83,42682.097
382014,2024-04-01,한천합류후,158.51,39145.63
382015,2024-04-01,삼동암천,-999,-999
382016,2024-04-01,금호강시점,18.63,4600.865
382017,2024-04-01,청도천하류,3.71,916.222
382018,2024-04-01,동촌수위표,-999,-999
382019,2024-04-01,동촌수위표,-999,-999
382020,2024-04-01,금호강하류,-999,-999
382021,2024-04-01,합천수위표하류,10.55,2605.428
382022,2024-04-01,동촌수위표,985.92,243482.803
382023,2024-04-01,합천댐상류,16.53,4082.249
382024,2024-04-01,합천댐상류,382.92,94565.923
382025,2024-04-01,동촌수위표,0,0
382026,2024-04-01,안동댐역조정지하류,74.76,18462.73
382027,2024-04-01,영강하류,320.49,79148.21
382028,2024-04-01,한천합류후,205.79,50821.898
382029,2024-04-01,운곡천,3.42,844.603
382030,2024-04-01,안동댐역조정지하류,13.49,3331.49
382031,2024-04-01,부소천합류후,-999,-999
382032,2024-04-01,부소천합류후,6.62,1634.875
382033,2024-04-01,신천하류,2.49,614.93
382034,2024-04-01,신천하류,-999,-999
382035,2024-04-01,황구지천상류,1.59,392.666
382036,2024-04-01,평택수위표,1.12,276.595
382037,2024-04-01,오산천,1.58,390.197
382038,2024-04-01,문산천합류후,0,0
382039,2024-04-01,공촌천,-999,-999
382040,2024-04-01,평택수위표,22.44,5541.782
382041,2024-04-01,용전천하류,31,7655.76
382042,2024-04-01,용전천하류,0,0
382043,2024-04-01,곡강천,-999,-999
382044,2024-04-01,안동댐역조정지하류,0,0
382045,2024-04-01,도암댐,7.89,1948.514
382046,2024-04-01,상운천,19.77,4882.399
382047,2024-04-01,전천,0.4,98.784
382048,2024-04-02,석화수위표,-999,-999
382049,2024-04-02,임실천,11.26,2780.77
382050,2024-04-02,봉황천하류,12.21,3015.382
382051,2024-04-02,봉황천하류,30.74,7591.55
382052,2024-04-02,초강상류,43.19,10666.202
382053,2024-04-02,삼가천합류후,1.87,461.815
382054,2024-04-02,삼가천합류후,4.77,1177.999
382055,2024-04-02,무심천,-999,-999
382056,2024-04-02,병천천상류,-999,-999
382057,2024-04-02,갑천하류,-999,-999
382058,2024-04-02,갑천하류,-999,-999
382059,2024-04-02,갑천하류,-999,-999
382060,2024-04-02,갑천상류,0.54,133.358
382061,2024-04-02,갑천하류,-999,-999
382062,2024-04-02,보강천,1.54,380.318
382063,2024-04-02,석화수위표,-999,-999
382064,2024-04-02,갑천하류,-999,-999
382065,2024-04-02,임실천,0,0
382066,2024-04-02,영천강합류전,108.59,26817.386
382067,2024-04-02,송천,4.41,1089.094
382068,2024-04-02,석화수위표,-999,-999
382069,2024-04-02,의령천,0,0
382070,2024-04-02,의령천,425.63,105113.585
382071,2024-04-02,차천,464.54,114722.798
382072,2024-04-02,남천,-999,-999
382073,2024-04-02,조만강,0,0
382074,2024-04-02,병천천상류,0,0
382075,2024-04-02,밀양강,428.44,105807.542
382076,2024-04-02,황리천,0,0
382077,2024-04-02,양산천하류,48.64,12012.134
382078,2024-04-02,곡강천,6.25,1543.5
382079,2024-04-02,곡강천,-999,-999
382080,2024-04-02,동천,4.29,1059.458
382081,2024-04-02,동천,-999,-999
382082,2024-04-02,동천,-999,-999
382083,2024-04-02,동천,-999,-999
382084,2024-04-02,수영강,-999,-999
382085,2024-04-02,남대천,21.79,5381.258
382086,2024-04-02,양산천하류,-999,-999
382087,2024-04-02,갑천하류,-999,-999
382088,2024-04-02,마륜천,-999,-999
382089,2024-04-02,논산천합류전,393.52,97183.699
382090,2024-04-02,성황천,187.24,46240.79
382091,2024-04-02,경포천,-999,-999
382092,2024-04-02,경천,3.22,795.211
382093,2024-04-02,광주천,-999,-999
382094,2024-04-02,광주천,-999,-999
382095,2024-04-02,광주천,-999,-999
382096,2024-04-02,와탄천,1.2,296.352
382097,2024-04-02,광주천,5.91,1459.534
382098,2024-04-02,광주천,-999,-999
382099,2024-04-02,지석천,0,0
382100,2024-04-02,와탄천,1.62,400.075
382101,2024-04-02,청계천,0,0
382102,2024-04-02,청계천,0,0
382103,2024-04-02,탐진강하류,2.83,698.897
382104,2024-04-02,탐진강하류,88,21732.48
382105,2024-04-02,와탄천,1.4,345.744
382106,2024-04-02,와탄천,22.38,5526.965
382107,2024-04-02,성황천,48.24,11913.35
382108,2024-04-02,논산천합류전,815.49,201393.41
382109,2024-04-02,남원수위표,52.87,13056.775
382110,2024-04-02,주암조절지댐,37.27,9204.199
382111,2024-04-02,대천천,-999,-999
382112,2024-04-02,경포천,-999,-999
382113,2024-04-02,삽교천상류,41.87,10340.215
382114,2024-04-02,삽교천상류,0.02,4.939
382115,2024-04-02,온양천,73.59,18173.786
382116,2024-04-02,간월방조제,-999,-999
382117,2024-04-02,대천천,24.8,6124.608
382118,2024-04-02,전주천하류,21.02,5191.099
382119,2024-04-02,전주천하류,-999,-999
382120,2024-04-02,전주천하류,-999,-999
382121,2024-04-02,전주천하류,0.13,32.105
382122,2024-04-02,전주천하류,0,0
382123,2024-04-02,주상천,2.97,733.471
382124,2024-04-02,주상천,0,0
382125,2024-04-02,임실천,4.62,1140.955
382126,2024-04-02,남원수위표,11.81,2916.598
382127,2024-04-02,임실천,27.18,6712.373
382128,2024-04-02,주암조절지댐,2.67,659.383
382129,2024-04-02,삼천포천,3.31,817.438
382130,2024-04-02,논산천합류전,-999,-999
382131,2024-04-02,함양위천,8.3,2049.768
382132,2024-04-02,양평수위표,-999,-999
382133,2024-04-02,중랑천하류,672.38,166050.965
382134,2024-04-02,중랑천합류전,8.51,2101.63
382135,2024-04-02,중랑천합류전,-999,-999
382136,2024-04-02,성남수위표,-999,-999
382137,2024-04-02,탄천하류,-999,-999
382138,2024-04-02,탄천하류,-999,-999
382139,2024-04-02,중랑천하류,1.07,264.247
382140,2024-04-02,중랑천하류,-999,-999
382141,2024-04-02,청계천,-999,-999
382142,2024-04-02,청계천,-999,-999
382143,2024-04-02,안양천하류,-999,-999
382144,2024-04-02,안양천하류,-999,-999
382145,2024-04-02,안양천중류,3.03,748.289
382146,2024-04-02,안양천하류,-999,-999
382147,2024-04-02,행주대교수위표,-999,-999
382149,2024-04-02,경안수위표,-999,-999
382150,2024-04-02,행주대교수위표,-999,-999
382151,2024-04-02,양평수위표,-999,-999
382152,2024-04-02,소양강댐하류,137.09,33855.746
382153,2024-04-02,황지천,3.5,864.36
382154,2024-04-02,전천,3.17,782.863
382155,2024-04-02,황지천,-999,-999
382156,2024-04-02,원주천,5.12,1264.435
382157,2024-04-02,평창강하류,10.94,2701.742
382158,2024-04-02,평창강하류,-999,-999
382159,2024-04-02,원주천,-999,-999
382160,2024-04-02,달천하류,21.15,5223.204
382161,2024-04-02,달천하류,426.83,105409.937
382162,2024-04-02,원주천,419.97,103715.791
382163,2024-04-02,청미수위표,-999,-999
382164,2024-04-02,복하천하류,-999,-999
382165,2024-04-02,양평수위표,406,100265.76
382166,2024-04-02,양평수위표,-999,-999
382167,2024-04-02,화천천,-999,-999
382168,2024-04-02,양구교수위표,-999,-999
382169,2024-04-02,양구교수위표,-999,-999
382170,2024-04-02,의암댐,-999,-999
382171,2024-04-02,행주대교수위표,-999,-999
382172,2024-04-02,도암댐,20.07,4956.487
382173,2024-04-02,삼동암천,-999,-999
382174,2024-04-02,초강상류,93.52,23095.699
382175,2024-04-02,미성교수위표,6.71,1657.102
382176,2024-04-02,남대천,89.38,22073.285
382177,2024-04-02,초강상류,15.43,3810.593
382178,2024-04-02,북천,130.27,32171.479
382179,2024-04-02,한천합류후,133.38,32939.525
382180,2024-04-02,한천합류후,155.38,38372.645
382181,2024-04-02,금호강시점,15.3,3778.488
382182,2024-04-02,청도천하류,2.82,696.427
382183,2024-04-02,동촌수위표,-999,-999
382184,2024-04-02,동촌수위표,-999,-999
382185,2024-04-02,금호강하류,-999,-999
382186,2024-04-02,합천수위표하류,8.04,1985.558
382187,2024-04-02,동촌수위표,984.31,243085.198
382188,2024-04-02,합천댐상류,13.96,3447.562
382189,2024-04-02,합천댐상류,294.54,72739.598
382190,2024-04-02,동촌수위표,0,0
382191,2024-04-02,안동댐역조정지하류,69.9,17262.504
382192,2024-04-02,영강하류,302.79,74777.018
382193,2024-04-02,함양위천,65.83,16257.377
382194,2024-04-02,운곡천,3.42,844.603
382195,2024-04-02,안동댐역조정지하류,12.13,2995.625
382196,2024-04-02,부소천합류후,-999,-999
382197,2024-04-02,부소천합류후,6.16,1521.274
382198,2024-04-02,신천하류,2.24,553.19
382199,2024-04-02,신천하류,-999,-999
382200,2024-04-02,황구지천상류,1.06,261.778
382201,2024-04-02,평택수위표,1.12,276.595
382202,2024-04-02,오산천,1.53,377.849
382203,2024-04-02,문산천합류후,0,0
382204,2024-04-02,공촌천,-999,-999
382205,2024-04-02,상운천,19.24,4751.51
382206,2024-04-02,도암댐,4.2,1037.232
382207,2024-04-02,안동댐역조정지하류,0,0
382208,2024-04-02,전천,0.45,111.132
382209,2024-04-02,곡강천,-999,-999
382210,2024-04-02,용전천하류,0,0
382211,2024-04-02,용전천하류,17.5,4321.8
382212,2024-04-02,평택수위표,10.02,2474.539
382213,2024-04-03,무심천,-999,-999
382214,2024-04-03,석화수위표,-999,-999
382215,2024-04-03,봉황천하류,-999,-999
382216,2024-04-03,삼가천합류후,-999,-999
382217,2024-04-03,초강상류,-999,-999
382218,2024-04-03,갑천하류,-999,-999
382219,2024-04-03,삼가천합류후,-999,-999
382220,2024-04-03,갑천하류,-999,-999
382221,2024-04-03,석화수위표,-999,-999
382222,2024-04-03,갑천하류,-999,-999
382223,2024-04-03,갑천상류,-999,-999
382224,2024-04-03,갑천하류,-999,-999
382225,2024-04-03,보강천,-999,-999
382226,2024-04-03,석화수위표,-999,-999
382227,2024-04-03,병천천상류,-999,-999
382228,2024-04-03,봉황천하류,-999,-999
382229,2024-04-03,갑천하류,-999,-999
382230,2024-04-03,임실천,-999,-999
382231,2024-04-03,동천,-999,-999
382232,2024-04-03,황리천,-999,-999
382233,2024-04-03,의령천,-999,-999
382234,2024-04-03,의령천,-999,-999
382235,2024-04-03,차천,-999,-999
382236,2024-04-03,남천,-999,-999
382237,2024-04-03,조만강,-999,-999
382238,2024-04-03,병천천상류,-999,-999
382239,2024-04-03,밀양강,-999,-999
382240,2024-04-03,양산천하류,-999,-999
382241,2024-04-03,임실천,-999,-999
382242,2024-04-03,양산천하류,-999,-999
382243,2024-04-03,곡강천,-999,-999
382244,2024-04-03,갑천하류,-999,-999
382245,2024-04-03,동천,-999,-999
382246,2024-04-03,동천,-999,-999
382247,2024-04-03,동천,-999,-999
382248,2024-04-03,수영강,-999,-999
382249,2024-04-03,남대천,-999,-999
382250,2024-04-03,송천,-999,-999
382251,2024-04-03,곡강천,-999,-999
382252,2024-04-03,논산천합류전,-999,-999
382253,2024-04-03,대천천,-999,-999
382254,2024-04-03,논산천합류전,-999,-999
382255,2024-04-03,성황천,-999,-999
382256,2024-04-03,경포천,-999,-999
382257,2024-04-03,경천,-999,-999
382258,2024-04-03,광주천,-999,-999
382259,2024-04-03,광주천,-999,-999
382260,2024-04-03,광주천,-999,-999
382261,2024-04-03,와탄천,-999,-999
382262,2024-04-03,광주천,-999,-999
382263,2024-04-03,광주천,-999,-999
382264,2024-04-03,지석천,-999,-999
382265,2024-04-03,와탄천,-999,-999
382266,2024-04-03,청계천,-999,-999
382267,2024-04-03,청계천,-999,-999
382268,2024-04-03,탐진강하류,-999,-999
382269,2024-04-03,탐진강하류,-999,-999
382270,2024-04-03,와탄천,-999,-999
382271,2024-04-03,영천강합류전,-999,-999
382272,2024-04-03,성황천,-999,-999
382273,2024-04-03,논산천합류전,-999,-999
382274,2024-04-03,남원수위표,-999,-999
382275,2024-04-03,마륜천,-999,-999
382276,2024-04-03,대천천,-999,-999
382277,2024-04-03,경포천,-999,-999
382278,2024-04-03,삽교천상류,-999,-999
382279,2024-04-03,삽교천상류,-999,-999
382280,2024-04-03,온양천,-999,-999
382281,2024-04-03,간월방조제,-999,-999
382282,2024-04-03,전주천하류,-999,-999
382283,2024-04-03,전주천하류,-999,-999
382284,2024-04-03,전주천하류,-999,-999
382285,2024-04-03,전주천하류,-999,-999
382286,2024-04-03,전주천하류,-999,-999
382287,2024-04-03,주상천,-999,-999
382288,2024-04-03,주상천,-999,-999
382289,2024-04-03,임실천,-999,-999
382290,2024-04-03,남원수위표,-999,-999
382291,2024-04-03,임실천,-999,-999
382292,2024-04-03,와탄천,-999,-999
382293,2024-04-03,주암조절지댐,-999,-999
382294,2024-04-03,주암조절지댐,-999,-999
382295,2024-04-03,삼천포천,-999,-999
382296,2024-04-03,함양위천,-999,-999
382297,2024-04-03,경안수위표,-999,-999
382298,2024-04-03,양평수위표,-999,-999
382299,2024-04-03,중랑천하류,-999,-999
382300,2024-04-03,중랑천합류전,-999,-999
382301,2024-04-03,중랑천합류전,-999,-999
382302,2024-04-03,성남수위표,-999,-999
382303,2024-04-03,탄천하류,-999,-999
382304,2024-04-03,탄천하류,-999,-999
382305,2024-04-03,중랑천하류,-999,-999
382306,2024-04-03,중랑천하류,-999,-999
382307,2024-04-03,청계천,-999,-999
382308,2024-04-03,청계천,-999,-999
382309,2024-04-03,안양천하류,-999,-999
382310,2024-04-03,안양천하류,-999,-999
382311,2024-04-03,안양천중류,-999,-999
382312,2024-04-03,안양천하류,-999,-999
382313,2024-04-03,행주대교수위표,-999,-999
382314,2024-04-03,의암댐,-999,-999
382316,2024-04-03,소양강댐하류,-999,-999
382317,2024-04-03,양구교수위표,-999,-999
382318,2024-04-03,함양위천,-999,-999
382319,2024-04-03,도암댐,-999,-999
382320,2024-04-03,황지천,-999,-999
382321,2024-04-03,전천,-999,-999
382322,2024-04-03,황지천,-999,-999
382323,2024-04-03,원주천,-999,-999
382324,2024-04-03,평창강하류,-999,-999
382325,2024-04-03,평창강하류,-999,-999
382326,2024-04-03,원주천,-999,-999
382327,2024-04-03,달천하류,-999,-999
382328,2024-04-03,달천하류,-999,-999
382329,2024-04-03,원주천,-999,-999
382330,2024-04-03,청미수위표,-999,-999
382331,2024-04-03,복하천하류,-999,-999
382332,2024-04-03,양평수위표,-999,-999
382333,2024-04-03,양평수위표,-999,-999
382334,2024-04-03,화천천,-999,-999
382335,2024-04-03,양구교수위표,-999,-999
382336,2024-04-03,행주대교수위표,-999,-999
382337,2024-04-03,양평수위표,-999,-999
382338,2024-04-03,삼동암천,-999,-999
382339,2024-04-03,초강상류,-999,-999
382340,2024-04-03,미성교수위표,-999,-999
382341,2024-04-03,남대천,-999,-999
382342,2024-04-03,초강상류,-999,-999
382343,2024-04-03,북천,-999,-999
382344,2024-04-03,한천합류후,-999,-999
382345,2024-04-03,한천합류후,-999,-999
382346,2024-04-03,금호강시점,-999,-999
382347,2024-04-03,청도천하류,-999,-999
382348,2024-04-03,동촌수위표,-999,-999
382349,2024-04-03,동촌수위표,-999,-999
382350,2024-04-03,금호강하류,-999,-999
382351,2024-04-03,합천수위표하류,-999,-999
382352,2024-04-03,동촌수위표,-999,-999
382353,2024-04-03,합천댐상류,-999,-999
382354,2024-04-03,합천댐상류,-999,-999
382355,2024-04-03,행주대교수위표,-999,-999
382356,2024-04-03,안동댐역조정지하류,-999,-999
382357,2024-04-03,영강하류,-999,-999
382358,2024-04-03,동촌수위표,-999,-999
382359,2024-04-03,운곡천,-999,-999
382360,2024-04-03,안동댐역조정지하류,-999,-999
382361,2024-04-03,부소천합류후,-999,-999
382362,2024-04-03,신천하류,-999,-999
382363,2024-04-03,신천하류,-999,-999
382364,2024-04-03,문산천합류후,-999,-999
382365,2024-04-03,황구지천상류,-999,-999
382366,2024-04-03,평택수위표,-999,-999
382367,2024-04-03,오산천,-999,-999
382368,2024-04-03,평택수위표,-999,-999
382369,2024-04-03,부소천합류후,-999,-999
382370,2024-04-03,상운천,-999,-999
382371,2024-04-03,도암댐,-999,-999
382372,2024-04-03,전천,-999,-999
382373,2024-04-03,곡강천,-999,-999
382374,2024-04-03,용전천하류,-999,-999
382375,2024-04-03,용전천하류,-999,-999
382376,2024-04-03,안동댐역조정지하류,-999,-999
382377,2024-04-03,공촌천,-999,-999
382378,2024-04-04,봉황천하류,15.02,3709.339
382379,2024-04-04,봉황천하류,36.96,9127.642
382380,2024-04-04,초강상류,50.23,12404.801
382381,2024-04-04,삼가천합류후,4.44,1096.502
382382,2024-04-04,삼가천합류후,8.92,2202.883
382383,2024-04-04,석화수위표,-999,-999
382384,2024-04-04,석화수위표,-999,-999
382385,2024-04-04,무심천,-999,-999
382386,2024-04-04,갑천하류,-999,-999
382387,2024-04-04,갑천하류,-999,-999
382388,2024-04-04,갑천하류,-999,-999
382389,2024-04-04,갑천상류,0.8,197.568
382390,2024-04-04,갑천하류,-999,-999
382391,2024-04-04,보강천,2.04,503.798
382392,2024-04-04,석화수위표,-999,-999
382393,2024-04-04,병천천상류,-999,-999
382394,2024-04-04,임실천,12.05,2975.868
382395,2024-04-04,갑천하류,-999,-999
382396,2024-04-04,임실천,0,0
382397,2024-04-04,곡강천,-999,-999
382398,2024-04-04,송천,5.42,1338.523
382399,2024-04-04,갑천하류,-999,-999
382400,2024-04-04,의령천,0,0
382401,2024-04-04,의령천,1369.58,338231.477
382402,2024-04-04,차천,1407.73,347653.001
382403,2024-04-04,남천,-999,-999
382404,2024-04-04,조만강,0,0
382405,2024-04-04,병천천상류,0,0
382406,2024-04-04,밀양강,1609.74,397541.39
382407,2024-04-04,양산천하류,53.06,13103.698
382408,2024-04-04,양산천하류,-999,-999
382409,2024-04-04,곡강천,136.57,33727.327
382410,2024-04-04,동천,46.59,11505.866
382411,2024-04-04,동천,-999,-999
382412,2024-04-04,동천,-999,-999
382413,2024-04-04,동천,-999,-999
382414,2024-04-04,수영강,-999,-999
382415,2024-04-04,남대천,24.84,6134.486
382416,2024-04-04,황리천,0,0
382417,2024-04-04,논산천합류전,815.49,201393.41
382418,2024-04-04,영천강합류전,469.99,116068.73
382419,2024-04-04,대천천,-999,-999
382420,2024-04-04,성황천,392.61,96958.966
382421,2024-04-04,경포천,-999,-999
382422,2024-04-04,경천,7.55,1864.548
382423,2024-04-04,광주천,-999,-999
382424,2024-04-04,광주천,-999,-999
382425,2024-04-04,광주천,-999,-999
382426,2024-04-04,와탄천,30.52,7537.219
382427,2024-04-04,광주천,63.38,15652.325
382428,2024-04-04,광주천,-999,-999
382429,2024-04-04,지석천,0,0
382430,2024-04-04,와탄천,5.6,1382.976
382431,2024-04-04,청계천,0,0
382432,2024-04-04,청계천,0,0
382433,2024-04-04,탐진강하류,21.22,5240.491
382434,2024-04-04,탐진강하류,88,21732.48
382435,2024-04-04,와탄천,14.44,3566.102
382436,2024-04-04,와탄천,30.24,7468.07
382437,2024-04-04,성황천,299.17,73883.023
382438,2024-04-04,논산천합류전,459.36,113443.546
382439,2024-04-04,남원수위표,283.27,69956.359
382440,2024-04-04,마륜천,-999,-999
382441,2024-04-04,경포천,-999,-999
382442,2024-04-04,삽교천상류,27.92,6895.123
382443,2024-04-04,삽교천상류,0.06,14.818
382444,2024-04-04,온양천,53.79,13283.978
382445,2024-04-04,간월방조제,-999,-999
382446,2024-04-04,대천천,42.07,10389.607
382447,2024-04-04,전주천하류,29.72,7339.651
382448,2024-04-04,전주천하류,-999,-999
382449,2024-04-04,전주천하류,-999,-999
382450,2024-04-04,전주천하류,1,246.96
382451,2024-04-04,전주천하류,0,0
382452,2024-04-04,주상천,4.93,1217.513
382453,2024-04-04,주상천,0,0
382454,2024-04-04,임실천,20.66,5102.194
382455,2024-04-04,남원수위표,54.04,13345.718
382456,2024-04-04,임실천,139.71,34502.782
382457,2024-04-04,주암조절지댐,209.97,51854.191
382458,2024-04-04,주암조절지댐,22.83,5638.097
382459,2024-04-04,삼천포천,36,8890.56
382460,2024-04-04,논산천합류전,-999,-999
382461,2024-04-04,함양위천,6.6,1629.936
382462,2024-04-04,경안수위표,-999,-999
382463,2024-04-04,양평수위표,-999,-999
382464,2024-04-04,중랑천하류,697.6,172279.296
382465,2024-04-04,중랑천합류전,8.17,2017.663
382466,2024-04-04,중랑천합류전,-999,-999
382467,2024-04-04,성남수위표,-999,-999
382468,2024-04-04,탄천하류,-999,-999
382469,2024-04-04,탄천하류,-999,-999
382470,2024-04-04,중랑천하류,1.03,254.369
382471,2024-04-04,중랑천하류,-999,-999
382472,2024-04-04,청계천,-999,-999
382473,2024-04-04,청계천,-999,-999
382474,2024-04-04,안양천하류,-999,-999
382475,2024-04-04,안양천하류,-999,-999
382476,2024-04-04,안양천중류,3.2,790.272
382477,2024-04-04,안양천하류,-999,-999
382478,2024-04-04,행주대교수위표,-999,-999
382479,2024-04-04,양평수위표,-999,-999
382481,2024-04-04,의암댐,-999,-999
382482,2024-04-04,양구교수위표,-999,-999
382483,2024-04-04,도암댐,17.86,4410.706
382484,2024-04-04,황지천,2.4,592.704
382485,2024-04-04,전천,3.01,743.35
382486,2024-04-04,황지천,-999,-999
382487,2024-04-04,원주천,4.51,1113.79
382488,2024-04-04,평창강하류,9.5,2346.12
382489,2024-04-04,평창강하류,-999,-999
382490,2024-04-04,원주천,-999,-999
382491,2024-04-04,달천하류,20.42,5042.923
382492,2024-04-04,달천하류,422.25,104278.86
382493,2024-04-04,원주천,424.83,104916.017
382494,2024-04-04,청미수위표,-999,-999
382495,2024-04-04,복하천하류,0,0
382496,2024-04-04,양평수위표,447.74,110573.87
382497,2024-04-04,양평수위표,-999,-999
382498,2024-04-04,화천천,-999,-999
382499,2024-04-04,양구교수위표,-999,-999
382500,2024-04-04,소양강댐하류,126.8,31314.528
382501,2024-04-04,행주대교수위표,-999,-999
382502,2024-04-04,함양위천,229.28,56622.989
382503,2024-04-04,동촌수위표,0,0
382504,2024-04-04,안동댐역조정지하류,85.57,21132.367
382505,2024-04-04,초강상류,114.86,28365.826
382506,2024-04-04,미성교수위표,20.87,5154.055
382507,2024-04-04,남대천,125.85,31079.916
382508,2024-04-04,초강상류,20.65,5099.724
382509,2024-04-04,북천,177.44,43820.582
